DDI_MONOX,ADI_MONOSN,IAMIDENTN,IAMTEXTN,IAMREFCAT
4674,46,R,"  Vaishampayan U, Drabkin HA, Dutcher J, Ryba S, Xia Q, Scappaticci FA,",2
3842,70,D,disorders and evidence of other vaccines in this patient population.(1),
3550,9,E,CLINICAL EFFECTS:  Concurrent use of a strong CYP3A4 inducer may result in a,
3398,26,B,,
4362,21,P,higher systemic concentrations of either QT prolonging drug are additional,
1843,8,A,additive effects.(1),
4855,54,D,neutropenia and/or warnings describing risk for myelosuppression in,
2572,30,P,"descent, and 8 % of patients of Latino descent have heterozygous NUDT15",
2789,51,D,"   From 2004 to 2011, the rate of nonmedical use-related emergency room",
4257,56,R,4.Tracleer (bosentan) US prescribing information. Actelion Pharmaceuticals,1
