NDC,MEDID,CLNQTY_SUBUNIT_QTY,CLNQTY_SUBUOM_DESC,CLNQTY_PKG_DESC,CLNQTY_DESC,ERX_QTY,ERX_SCRIPT_UOM_DESC,ERX_SCRIPT_POTUNIT_CD
83490013001,445148,1.0000000,each,box,1 each box,1.0000000,Each,C64933
11822935100,561192,19.0000000,each,bag,19 each bag,19.0000000,Each,C64933
17433987705,573507,5.0000000,mL,tube,5 mL tube,5.0000000,Milliliter,C28254
11701085015,547363,10.0000000,each,packet,10 each packet,10.0000000,Each,C64933
70092107905,573881,250.0000000,mL,bag,250 mL bag,250.0000000,Milliliter,C28254
57237003450,210861,50.0000000,mL,bottle,50 mL bottle,50.0000000,Milliliter,C28254
67877050530,467358,0E-7,tablet,,tablet,1.0000000,Tablet,C48542
08287126423,208990,100.0000000,"needle, disposable",box,"100 needle, disposable box",100.0000000,Each,C64933
00093555401,560061,0E-7,capsule,,capsule,1.0000000,Capsule,C48480
72485022320,567846,52.6000000,mL,vial,52.6 mL vial,52.6000000,Milliliter,C28254
