DDXCN,DDXCN_SN,FDBDX,DDXCN_SL,DDXCN_REF,DXID
52547,1,16. 99991,2,"CABLIVI, SPC 02/22",3023
50234,13,03.276100,1,"METHAZOLAMIDE PI, 02/2020",736
50312,3,09.570000,2,"DTIC-DOME PI, 09/07",2174
50288,9,03.279060,1,"M-M-R II PI, 11/2016",13504
50213,2,07.428000,2,"AHFS, 01/09",1578
51380,7,10.585301,2,"YARGESA PI, 07/2023",14570
50157,7,03.277804,3,"NORPRAMIN PI, 06/2025",13899
52574,3,09.534501,2,"RINVOQ PI, 04/2024",7636
51308,5,07.428000,2,AHFS 2003,1578
52006,12,09.530110,3,"MICTONORM SPC, 11/11",1992
