FDCDE,DNAME,FD_SL,RESULT,FDMSG1,FDMSG2
131,Lurasidone,2,Grapefruit may increase serum drug conc.,Avoid grapefruit unless MD,instructs otherwise.
252,Imatinib,2,Grapefruit may increase serum drug conc.,Avoid grapefruit unless MD,instructs otherwise.
245,Pirtobrutinib,2,Grapefruit may increase serum drug conc.,Avoid grapefruit unless MD,instructs otherwise.
108,Vinflunine,2,Grapefruit may increase serum drug conc.,Avoid grapefruit unless MD,instructs otherwise.
120,Bedaquiline,2,Grapefruit may increase serum drug conc.,Avoid grapefruit unless MD,instructs otherwise.
124,Artemether,2,Grapefruit may increase serum drug conc.,Avoid grapefruit unless MD,instructs otherwise.
119,Lomitapide,1,Grapefruit may increase serum drug conc.,Avoid grapefruit unless MD,instructs otherwise.
214,Osilodrostat,2,Grapefruit may increase serum drug conc.,Avoid grapefruit unless MD,instructs otherwise.
91,Praziquantel,2,Grapefruit may increase serum drug conc.,Avoid grapefruit unless MD,instructs otherwise.
196,Glasdegib,2,Grapefruit may increase serum drug conc.,Avoid grapefruit unless MD,instructs otherwise.
