DLIM_MONOGRAPH_ID,DLIM_MONOGRAPH_TITLE
1697,"Sulbactam (Parenteral) - Serum Tobramycin, Particle Enhanced Turbidimetric Immunoassay (PETINIA)"
1677,"Ticarcillin - Serum Tobramycin, Particle Enhanced Turbidimetric Immunoassay (PETINIA)"
1482,"Piperacillin (Parenteral) - Serum Amikacin, Fluorescence Polarization Immunoassay"
1608,"Piperacillin (Parenteral) - Serum Tobramycin, Enzyme-Multiplied Immunoassay Technique  (EMIT)"
1733,"Enoxaparin - Serum Free Thyroxine, Chemiluminescent Immunoassay"
1488,"Quinidine - Serum Lithium, Ion-Selective Electrode"
1761,"Metronidazole (oral, parenteral) - Plasma Glucose, Hexokinase"
1715,"Valproic Acid and Derivatives - Serum Lithium, Colorimetric Crown Ether Dye"
1603,"Piperacillin (Parenteral) - Serum Gentamicin, Fluorescence Polarization Immunoassay"
1696,"Sulbactam (Parenteral) - Serum Tobramycin, Chemiluminescent Immunoassay"
