DLIM_MONOGRAPH_ID,DLIM_TEXT_SEQNO,DLIM_TEXT_TYP_CODE,DLIM_TEXT
1716,1,01,"Trimethoprim Falsely Decreases Whole Blood Sirolimus, Microparticle Enzyme Immunoassay (MEIA).  Evidence:  Possible"
1547,1,01,"Mannitol (Parenteral) Falsely Decreases Serum Phosphorus, Phosphomolybdate Complex Formation (Reduced).  Evidence:  Established"
1702,2,10,Serum tobramycin levels may be falsely low due to inactivation by piperacillin. This interference is not dependent upon the tobramycin assay method. Factors contributing to inactivation include high piperacillin concentrations (sample drawn soon after the
1784,2,10,Serum uric acid levels may be falsely low due to in vitro degradation by rasburicase. This interference is not dependent upon the uric acid assay method. Factors contributing to inactivation include storage temperature of the sample and specimen contact
1629,10,92,antibiotics in patients with hematological disorders. J ClinMicrobiol. 2006 Feb;44(2):389-94 [Pub Med URL: http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=16455889&dopt=Abstract]
1684,8,95,[Pub Med URL: http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Retrieve&db=PubMed&list_uids=6453219&dopt=Abstract]
1768,8,91,     Evaluation Report of the Accu-Chek Comfort Curve Test Strip as a Plasma-like Test Strip. Monograph copyright by Roche Diagnostics 2002.
1766,8,91,"     Octapharma Pharmazeutika, ""Octagam, Immune Globulin Intravenous (Human) 5%"", March .2007."
1568,1,01,"Doxycycline (systemic) Falsely Increases Serum Creatine Kinase-MB, Immunological (NAC Reagents).  Evidence:  Probable"
1643,5,91,"     Beckman Coulter Synchron System(s) Chemistry Information Sheet - Digoxin, November 2004."
