GCN_SEQNO,DR2_RT,DR2_LOAGED,DR2_HIAGED,FDBDX,DR2_DOSTPI,DR2_LODOSD,DR2_LODOSU,DR2_HIDOSD,DR2_HIDOSU,DR2_MXDOSD,DR2_MXDOSU,DR2_LOFREQ,DR2_HIFREQ,DR2_RENIMP,DR2_CRCLTH,DR2_CRCLU,DR2_LODOTX,DR2_HIDOTX,DR2_MXDOTX,DR2_HEPIMP,DR2_THAFLO,DR2_THAFHI,DR2_THAFU,DR2_MX1DOS,DR2_MX1DSU,DR2_MXLIFD,DR2_MXLIFU,DXID
80,064,70,76,999,07,2.160,02,2.640,02,3.670,02,1.00,1.00,Y,89,01,1,1,1,Y,6.00,29.00,02,3.670,03,0.000,,4892
78075,083,730,23724,999,07,1.000,13,1.000,13,1.000,13,1.00,1.00,N,0,,1,1,1,N,0.00,0.00,,1.000,35,0.000,,4892
3782,064,730,2189,999,02,5.000,01,10.000,01,10.000,01,2.00,2.00,Y,29,01,1,0,0,Y,2.00,11.00,02,5.000,28,0.000,,4892
75128,012,3650,20439,16. 9999M,07,10.000,01,40.000,01,40.000,01,1.00,1.00,N,0,,1,1,1,Y,3.00,7.00,02,40.000,28,0.000,,11418
71434,083,23725,40150,999,07,1.000,13,1.000,13,1.000,13,1.00,1.00,Y,89,01,1,1,1,Y,0.00,0.00,,1.000,35,0.000,,4892
9363,052,4745,6569,999,07,500.000,01,2000.000,01,3000.000,01,1.00,1.00,Y,30,01,1,1,1,Y,1.30,2.20,02,3000.000,28,0.000,,4892
86419,079,6570,40150,999,07,0.300,46,16.000,46,100.000,46,1.00,1.00,N,0,,1,1,1,N,1.80,3.50,02,100.000,19,0.000,,4892
60369,064,6570,23724,999,07,10.000,01,10.000,02,1500.000,01,1.00,1.00,N,0,,1,1,1,N,0.00,0.00,,10.000,03,0.000,,4892
51228,064,6570,23724,999,02,5.000,22,80.000,22,80.000,22,1.00,8.00,Y,20,01,1,0,0,Y,0.00,0.00,,10.000,41,0.000,,4892
64089,052,5840,40150,999,01,0.050,98,0.100,98,0.200,98,1.00,1.00,Y,50,01,1,1,1,N,78.00,0.00,01,0.200,96,0.000,,4892
