ETC_ID,ETC_NAME,ETC_ULTIMATE_CHILD_IND,ETC_DRUG_CONCEPT_LINK_IND,ETC_PARENT_ETC_ID,ETC_FORMULARY_LEVEL_IND,ETC_PRESENTATION_SEQNO,ETC_ULTIMATE_PARENT_ETC_ID,ETC_HIERARCHY_LEVEL,ETC_SORT_NUMBER,ETC_RETIRED_IND,ETC_RETIRED_DATE
3664,Analgesic Opioid Oxycodone Combinations,0,1,3969,1,50,3645,5,117,0,
3569,Medical Supplies and DME - Casts and Accessories,1,1,3568,1,10,1131,3,2556,0,
5708,"Anti-inflammatory Tumor Necrosis Factor Inhibiting Agnts,TNF-alpha Sel",1,1,601,0,20,3645,5,51,0,
3206,Ophthalmic - Beta blockers-Carbonic Anhydrase Inhibitor Combinations,1,1,3205,1,20,837,4,2817,0,
3235,Otic (Ear) - Fluoroquinolones,1,1,3232,1,30,885,4,2895,0,
2562,Antiretroviral-Nucleoside Reverse Transcriptase Inhibitors (NRTI) Comb,1,1,51,1,25,2549,5,338,0,
6229,"Antidepressant - Tricyclic and Antipsychotic, Thioxanthene Comb",1,0,5761,1,15,2584,5,1084,0,
778,Dietary Product - Sweeteners,1,1,776,1,20,3444,4,1784,0,
2605,Gout and Hyperuricemia - Antimitotic-Uricosuric Combinations,1,1,611,1,40,609,3,2290,0,
5816,"Non-Opioid Antitussive-1st Gen Antihistamine-Analgesic, Non-Salicylate",1,1,341,0,10,2709,7,3109,0,
