DXID,DXID_DESC56,DXID_DESC100,DXID_STATUS,FDBDX,DXID_DISEASE_DURATION_CD
7085,galactose intolerance,galactose intolerance,2,03.271302,2
15255,"DPYD no result on file, not currently ordered","DPYD no result on file, not currently ordered",0,03.277865,0
842,anemia,anemia,0,04.285900,3
8680,Whipple's disease,Whipple's disease,0,01.040200,2
14402,prophylaxis of anaphylactic rxn due to dextran 40 or 70,prophylaxis of anaphylactic reaction due to dextran 40 or dextran 70 infusion,0,17.995002,1
16411,diethyltoluamide toxicity,diethyltoluamide toxicity,0,17.97790I,1
585,untreated hypothyroidism,untreated hypothyroidism,0,03.244901,3
15647,entrectinib treatment failure,entrectinib treatment failure,0,18.V8740E,0
449,Wilms' tumor,Wilms' tumor,0,02.189000,2
3255,urinary urge incontinence,urinary urge incontinence,0,16.788310,2
