ICD_CD,ICD_CD_TYPE,ICD_DESC_SOURCE_CD,ICD_DESC
0VW843Z,06,03,"Revision of Infusion Device in Scrotum and Tunica Vaginalis, Percutaneous Endoscopic Approach"
S86.311,05,03,"Strain of muscle(s) and tendon(s) of peroneal muscle group at lower leg level, right leg"
03Q23ZZ,06,04,"Repair Innominate Artery, Percutaneous Approach"
V86.29xS,05,04,"Person on outside of sp off-rd mv injured in traf, sequela"
402.01,01,01,MAL HYPERT HRT DIS W HF
02RJ4JZ,06,04,"Replace of Tricusp Valve with Synth Sub, Perc Endo Approach"
V23.31xA,05,03,"Person boarding or alighting an electric (assisted) bicycle injured in collision with car, pick-up truck or van, initial encounter"
S53.101S,05,03,"Unspecified subluxation of right ulnohumeral joint, sequela"
S68.628A,05,04,"Partial traumatic transphalangeal amputation of finger, init"
694.9,01,01,BULLOUS DERMATOSES NOS
