GERI_CODE,GERI_DESC,GERI_SL,GERI_RNL,GERI_HEP,GERI_CARD,GERI_PULM,GERI_NEUR,GERI_END,GERI_BEERS_IND,GERI_HEDIS_IND,GERI_STOPP_IND,GERI_NARRATIVE
775,Carvedilol,2,N,Y,N,N,Y,N,N,N,Y,Cardiovascular-Minimize dose to decrease dizziness and falls. Plasma levels as much as 50% higher in the elderly.
194,Mephobarbital,1,Y,Y,N,N,Y,N,Y,N,N,"Neuro/Psych-Generally avoid in the elderly due to risk for confusion, excitability or depression, and increased fall incidence."
390,Bretylium Tosylate,2,Y,N,N,N,N,N,N,N,Y,Reduce total dosage or increase dose interval as needed
1031,Denosumab,2,Y,N,N,N,N,N,N,N,N,"General-Monitor serum calcium closely. Increased risk of hypocalcemia with creatinine clearance less than 30 mL/min or on dialysis. Supplement calcium and vitamin D as needed.  Musculoskeletal-Reports of atypical, pathologic subtrochanteric or proximal diaphyseal fractures can occur with little or no trauma. Caution with drug discontinuation in patients with osteoporosis or prior fractures; may be at risk for multiple vertebral fractures."
406,Carteolol,2,Y,N,Y,N,N,N,N,N,Y,Cardiovascular-Minimize dose to decrease dizziness and falls.  Renal-Renal elimination; use caution in starting dose and dose escalation.
1151,Trimethoprim,2,Y,N,N,N,N,N,Y,N,N,Renal-Rare risk of hyperkalemia. Monitor potassium and renal function. Monitor for folate deficiency with underlying impairment. Reduce dose CrCL < 30 mL/min. Avoid if CrCL < 15 mL/min.
688,Phenindamine,2,N,N,N,N,Y,N,N,N,Y,"Increased risk of hypotension, hyperexcitability, and anticholinergic side effects."
1039,Praziquantel,2,Y,N,N,N,N,N,N,N,N,Renal-Elderly at increased risk for adverse reactions with decreased renal function.
874,Tolmetin,2,Y,Y,Y,N,N,N,Y,Y,Y,Gastrointestinal-Increased risk for ulceration or serious to fatal GI bleed. The risk is highest with history of PUD or GI bleed.  Renal-Increased risk for exacerbation of chronic renal failure.  Cardiovascular-May exacerbate pre-existing hypertension or chronic heart failure. Risk for reinfarction is elevated with even minimal NSAID use post-MI.  Hepatic-Elevated hepatic transaminases may occur with chronic use.
382,Oxybutynin (Immediate Release),2,N,N,N,N,Y,N,Y,Y,Y,"Neuro/Psych-Anticholinergic effects may cause sedation, hallucinations, confusion, worsen cognitive impairment and increase fall risk. High risk of delirium. Use low dose; long acting product preferred.  Gastrointestinal-May cause or worsen pre-existing constipation.  Urogenital-Best avoided in patients with urinary retention from any cause."
