HIC4_SEQN,HIC4,HIC4_DESC,HIC4_ROOT,HIC4_POTENTIALLY_INACTV_IND,ING_STATUS_CD
18317,D42A,"L.acid,brev,bul,cas,fer,gas,parac,plan,reu,rha,sal",6809,0,0
10085,U7RQ,FD and C green no.32,468,0,0
2576,U7KS,coconut oil,463,1,0
19226,D42U,"L.acidophilus,brevis,casei,paracasei,plant,rhamnos",6809,0,0
9703,C5TT,Bifidobacterium animalis,185,0,0
12442,Y5ED,"compress. stocking,thigh high,long length,large",11593,0,0
2877,W2GU,methylene blue,495,0,0
2934,W4AA,quinine,500,0,0
19470,U9J8,herbal complex no.342,7953,0,0
5623,H3GB,paracymene,273,0,0
