HIC_SEQN,HIC,HIC_DESC,HIC_ROOT,HIC_POTENTIALLY_INACTV_IND,ING_STATUS_CD
19400,U9J6,herbal complex no.340,19400,0,0
13690,C5YV,"nutritional therapy, sulfite oxidase def., w/ iron",13690,0,0
15208,E0JR,prenatal vitamins no.68,15208,0,0
8919,D4JEMG,esomeprazole magnesium,8918,0,0
4961,W3CB,ciclopirox,4961,0,0
1339,H0AD,etidocaine,1339,0,0
12125,C1XW,bicarbonate dialysis solution no.6,12125,0,0
1453,Z2IDPM,hydroxyzine pamoate,1451,0,0
13464,C3MTGY,molybdenum glycinate,865,0,0
1132,D4EA,sucralfate,1132,0,0
