LACT_CODE,LACT_DESC,LACT_SL,LACT_EXCRT,LACT_LCTN,LACT_PRCTN
2348,BIFONAZOLE (TOP),2,2,2,"INSUFF HUMAN DATA AVAILABLE, DO NOT APPLY TO CHEST WHILE BREASTFEEDING"
2658,BEMIPARIN,2,2,2,INSUFFICIENT DATA AVAILABLE; MANUFACTURER DOES NOT RECOMMEND.
1381,PIOGLITAZONE,2,2,2,INSUFFICIENT DATA AVAILABLE
853,NALIDIXIC ACID,2,1,1,ONE REPORT OF HEMOLYTIC ANEMIA; LIMITED DATA SUGGEST LOW AMOUNTS EXCRETED
3134,BERAPROST,2,2,2,INSUFFICIENT HUMAN DATA AVAILABLE
3033,PEGCETACOPLAN (INTRAVITREAL),2,2,2,INSUFF HUMAN DATA AVAIL; PROBABLE MINIMAL EXPOSURE TO INFANT
2444,POTASSIUM PERCHLORATE,2,2,2,INSUFFICIENT HUMAN DATA AVAILABLE
2073,ILOPERIDONE,1,2,2,MANUFACTURER DOES NOT RECOMMEND; POTENTIAL SERIOUS ADVERSE REACTIONS
3122,TOVORAFENIB,1,2,2,INSUFF DATA AVAIL; MFG REC AVOID DURING TX AND FOR 2 WEEKS AFTER LAST DOSE
2236,ELOSULFASE ALFA,2,2,2,INSUFFICIENT HUMAN DATA AVAILABLE
