MEDID,ROUTED_DOSAGE_FORM_MED_ID,MED_STRENGTH,MED_STRENGTH_UOM,MED_MEDID_DESC,GCN_SEQNO,MED_GCNSEQNO_ASSIGN_CD,MED_NAME_SOURCE_CD,MED_REF_FED_LEGEND_IND,MED_REF_DEA_CD,MED_REF_MULTI_SOURCE_CD,MED_REF_GEN_DRUG_NAME_CD,MED_REF_GEN_COMP_PRICE_CD,MED_REF_GEN_SPREAD_CD,MED_REF_INNOV_IND,MED_REF_GEN_THERA_EQU_CD,MED_REF_DESI_IND,MED_REF_DESI2_IND,MED_STATUS_CD,GENERIC_MEDID
453907,94651,,,NitraTest Paper with Dispenser misc test,8307,1,9,2,0,1,0,9,9,0,0,9,9,1,451284
452915,19768,1 3/4,"""","Sur-Fit Natura Drainable Pouch 1 3/4""",10231,1,1,2,0,1,0,9,9,0,0,9,9,0,450427
582877,349606,,,Prevail Pant Liner pads,10362,1,1,2,0,1,0,9,9,0,0,9,9,0,471487
464933,103830,3.125 X 6,"""","Cutiplast Sterile 3.125"" X 6"" bandage",25920,1,1,2,0,1,0,9,9,0,0,9,9,3,444757
582739,348026,6-4.5-250,gram-gram-mg,Arginaid Extra 6 gram-4.5 gram-250 mg oral liquid,72893,1,1,4,0,2,2,9,9,1,2,9,9,3,582714
604041,463999,1.5-10-4,%,diclofenac 1.5 % solution and menthol 10 %-camphor 4 % gel topical kit,81406,1,0,1,0,2,2,9,9,1,2,9,9,0,0
247968,112598,108,mg,Exosurf 108 mg intratracheal suspension,15339,1,1,1,0,2,2,9,9,1,2,9,9,3,210167
606897,175501,"37,000-97,300-","149,900 unit","Pancreaze 37,000-97,300-149,900 unit capsule,delayed release",82384,1,1,1,0,2,2,9,9,1,2,9,9,0,606809
187134,6070,60-500,mg,"Maxifed-G 60 mg-500 mg tablet,extended release",754,1,1,1,0,1,2,9,9,0,4,9,9,3,235030
467331,105851,,,Ascensia Elite solution,62133,1,1,2,0,1,0,9,9,0,0,9,9,3,549233
