MTL_SPEC_LAB_ID,LAB_ID,MTL_METHOD_ID,MTL_SPEC_LAB_ID_DESC,MTL_SPEC_LAB_ID_STATUS
1100,45,373,"Serum Free Thyroxine, Equilibrium Dialysis",0
71,66,1,Plasma Growth Hormone,2
477,20,169,"Serum Blood Urea Nitrogen, o-Phthalaldehyde",2
307,32,114,"Serum Creatinine, Jaffe/Fuller's Earth (FulE)",0
19,17,109,"Serum Chloride, Colorimetric with Hg/Fe Thiocyanate",2
1005,241,102,"Serum Indirect Bilirubin, Spectral Shift",0
1032,292,352,"Fasting Serum Glucose, Glucose Oxidase Oxygen Consumption (O2 Electrode)",2
937,712,31,"Whole Blood Tacrolimus, Enzyme-Multiplied Immunoassay Technique  (EMIT)",0
350,10,22,"Serum Potassium, Ion Specific or Selective Electrode (ISE)",2
23,21,1,Urine Porphobilinogens,2
