NDC,LBLRID,GCN_SEQNO,PS,DF,AD,LN,BN,PNDC,REPNDC,NDCFI,DADDNC,DUPDC,DESI,DESDTEC,DESI2,DES2DTEC,DEA,CL,GPI,HOSP,INNOV,IPI,MINI,MAINT,OBC,OBSDTEC,PPI,STPK,REPACK,TOP200,UD,CSP,NDL_GDGE,NDL_LNGTH,SYR_CPCTY,SHLF_PCK,SHIPPER,HCFA_FDA,HCFA_UNIT,HCFA_PS,HCFA_APPC,HCFA_MRKC,HCFA_TRMC,HCFA_TYP,HCFA_DESC1,HCFA_DESI1,UU,PD,LN25,LN25I,GPIDC,BBDC,HOME,INPCKI,OUTPCKI,OBC_EXP,PS_EQUIV,PLBLR,TOP50GEN,OBC3,GMI,GNI,GSI,GTI,NDCGI1,HCFA_DC,LN60
58016064020,A58016,5132,20.000,1,,METOPROLOL 50 MG TABLET,METOPROLOL TARTRATE,,,2,1995-08-24 00:00:00,2017-10-05 00:00:00,,,,,0,F,9,0,0,0,0,1,ZA,2007-12-31 00:00:00,,0,1,000,0,1,0.000,0.000,0.000,1,1,,,0.000,,,,,,,0,BOTTLE,,1,2008-09-25 00:00:00,2011-09-28 00:00:00,0,0,0,ZA,20.000,0,00,ZA,4,1,9,4,1,,METOPROLOL 50 MG TABLET
17236003416,A17236,5338,454.000,3,,LANOLIN ANHYDROUS CREAM,LANOLIN ANHYDROUS,,,2,1982-01-01 00:00:00,2017-10-05 00:00:00,,,,,0,O,9,0,0,0,0,,ZB,1987-04-04 00:00:00,,0,0,000,0,1,0.000,0.000,0.000,1,1,,,0.000,,,,,,,0,TUBE/JAR,,0,2008-09-25 00:00:00,2011-09-28 00:00:00,0,0,0,ZB,454.000,0,00,ZB,1,2,9,4,1,,LANOLIN ANHYDROUS CREAM
51552082999,A51552,60052,100.000,3,USP,PROGESTERONE PWD MICRONIZED,PROGESTERONE,,,2,2000-08-29 00:00:00,2017-10-05 00:00:00,,,,,0,F,9,0,0,0,0,,ZB,2002-06-30 00:00:00,,0,0,000,0,1,0.000,0.000,0.000,1,1,NR,GM,100.000,1990-09-30 00:00:00,1999-08-11 00:00:00,2003-06-30 00:00:00,1,,,0,JAR,,1,2008-09-25 00:00:00,2011-09-28 00:00:00,0,0,0,ZB,105.000,0,00,ZB,0,0,9,0,1,N,PROGESTERONE PWD MICRONIZED
70934014030,A70934,9001,30.000,1,,AMOXICILLIN 250 MG TAB CHEW,AMOXICILLIN,,,2,2018-11-07 00:00:00,2018-11-07 00:00:00,,,,,0,F,9,0,0,0,0,,AB,,,0,1,000,0,1,0.000,0.000,0.000,1,1,,,0.000,,,,,,,0,BOTTLE,,1,2018-11-07 00:00:00,2018-11-07 00:00:00,0,0,0,AB,30.000,0,00,AB,4,1,9,3,1,,AMOXICILLIN 250 MG TAB CHEW
24200061546,A24200,69334,2.500,2,5ML ORAL SYRINGE,VANCOMYCIN 125 MG/2.5 ML ORAL,VANCOMYCIN HCL,,,2,2012-08-28 00:00:00,2017-10-05 00:00:00,,,,,0,F,9,1,0,0,0,,ZB,2012-10-31 00:00:00,,0,1,000,0,1,0.000,0.000,5.000,1,1,,,0.000,,,,,,,0,SYRINGE,,1,2012-08-28 00:00:00,2012-08-28 00:00:00,0,0,0,ZB,2.500,0,00,ZB,0,1,9,4,1,,VANCOMYCIN 125 MG/2.5 ML ORAL
54569307000,A54569,9426,60.000,1,,MYAMBUTOL 400 MG TABLET,MYAMBUTOL,,,3,1991-07-02 00:00:00,2017-10-05 00:00:00,,,,,0,F,9,0,0,0,0,,ZA,2011-08-10 00:00:00,,0,1,000,0,1,0.000,0.000,0.000,1,1,,,0.000,,,,,,,0,BOTTLE,,0,2008-09-25 00:00:00,2011-09-28 00:00:00,0,0,0,ZA,60.000,0,00,ZA,4,2,9,4,1,,MYAMBUTOL 400 MG TABLET
00004035039,A00004,51601,1.000,1,"4 VIALS,4SYR,8 SWABS",PEGASYS 180 MCG/ML CONV.PACK,PEGASYS,,,1,2003-01-09 00:00:00,2017-10-05 00:00:00,,,,,0,F,9,1,1,0,1,,ZB,2005-12-31 00:00:00,,0,0,000,0,1,27.000,0.500,1.000,1,1,NR,ML,1.000,2002-10-16 00:00:00,2002-10-24 00:00:00,2005-12-31 00:00:00,1,,,0,KIT,,0,2008-09-25 00:00:00,2011-09-28 00:00:00,1,0,0,ZB,1.000,0,00,ZB,2,2,9,2,2,S,PEGASYS 180 MCG/ML CONV.PACK
13668001105,A13668,46204,500.000,1,F/C,CITALOPRAM HBR 40 MG TABLET,CITALOPRAM HBR,,,2,2007-10-11 00:00:00,2023-03-27 00:00:00,,,,,0,F,9,0,0,0,0,1,AB,,,0,0,000,0,1,0.000,0.000,0.000,1,1,AB,TAB,500.000,2007-03-27 00:00:00,2007-10-08 00:00:00,,1,,,0,BOTTLE,,1,2008-09-25 00:00:00,2011-09-28 00:00:00,0,0,0,AB,500.000,0,00,AB,1,1,9,3,1,N,CITALOPRAM HBR 40 MG TABLET
08225004602,A08225,10959,1.000,1,CHILD'S,POSTURE AID/CLAVICLE STRAP,POSTURE AID/CLAVICLE STRAP,,,7,1988-05-19 00:00:00,2017-10-05 00:00:00,,,,,0,O,9,0,0,0,0,,ZB,1995-01-16 00:00:00,,0,0,000,0,1,0.000,0.000,0.000,1,1,,,0.000,,,,,,,0,PACKET,,0,2008-09-25 00:00:00,2011-09-28 00:00:00,0,0,0,ZB,1.000,0,00,ZB,0,0,9,0,1,,POSTURE AID/CLAVICLE STRAP
49452577001,A49452,1260,500.000,3,USP/NF,POTASSIUM CHLORIDE CRYSTALS,POTASSIUM CHLORIDE,,,3,1990-05-17 00:00:00,2017-10-05 00:00:00,,,,,0,F,9,0,0,0,0,,ZB,2013-05-15 00:00:00,,0,0,000,0,1,0.000,0.000,0.000,1,1,,,0.000,,,,,,,0,JAR,,1,2008-09-25 00:00:00,2011-09-28 00:00:00,0,0,0,ZB,500.000,0,00,ZB,0,0,9,0,1,,POTASSIUM CHLORIDE CRYSTALS
