PREG_MONO_ID,PREG_MONO_SECTION_CD,PREG_MONO_SN,PREG_CODE,PREG_MONO_LINE
2610,3,1,2610,"Animal Data   In an embryo-fetal development study in rats, pregnant animals received intravenous doses of copanlisib of 0, 0.75, or 3 mg/kg/day during the period of organogenesis. Administration of copanlisib at the dose of 3 mg/kg/day resulted in maternal toxicity and no live fetuses. Copanlisib administration at the dose of 0.75 mg/kg/day was maternally toxic and resulted in embryo-fetal death (increased resorptions, increased postimplantation loss, and decreased numbers of fetuses/dam). The"
272,3,2,272,"based on body surface area, respectively). Decreased live fetuses per litter and decreased litter size in the high dose group were noted in the presence of maternal toxicity (decreased body weight gain and mortality in the high-dose group).  No evidence of malformations or adverse effects on the fetus was reported in a published study in which pregnant rats were administered 8 mg/kg/day alfentanil (232 times the human dose of 335 mcg/kg/day based on body surface area) continuously from Gestation"
822,1,1,822,Contraindicated during pregnancy. Use during pregnancy is associated with congenital malformations. Immediately discontinue treatment in pregnant patients.
648,1,1,648,Contraindicated for use in third trimester due to the risk of kernicterus in the newborn.
2625,3,5,2625,"Pharmacologically mediated marked initial maternal body weight loss and reductions in body weight gain and food consumption coincided with an increase in early pregnancy losses and led to delivery of slightly smaller offspring at greater than or equal to 0.075 mg/kg twice weekly (greater than or equal to 6X human exposure).   Salcaprozate sodium (SNAC), an absorption enhancer in RYBELSUS, crosses the placenta and reaches fetal tissues in rats. In a pre- and postnatal development study in"
2235,1,1,2235,Insufficient human data available.  Based on drug pharmacology developmental toxicity is possible. Consider maternal treatment benefits versus potential fetal/neonatal adverse outcomes. Animal data suggest developmental toxicity at doses less than the recommended human dose.
3322,3,2,3322,"to vaccinated mothers (the historical control data showed a range for postnatal survival from 47.6% to 91.4% with a mean of 71%, from 18 studies); other postnatal development parameters were not affected. There were no adverse effects on female fertility; and there was no evidence of harm to the fetus due to the vaccine.  In a pre- and postnatal developmental study performed in female rats, a full human dose (0.8 mL) of VIMKUNYA was administered by intramuscular injection on five occasions: 28"
2464,1,1,2464,Insufficient data available
3181,1,1,3181,"Based on the drug's mechanism of action, B cell depletion is likely to occur in the fetus. Insufficient human data available on developmental toxicity risk. Consider pregnant patient treatment benefits versus potential fetal/neonatal adverse outcomes. Insufficient animal data available."
2053,3,3,2053,"fertility and embryo-fetal development study using daily vaginal administration of Veregen to rats from Day 4 before mating and throughout mating until Day 17 of gestation did not show treatment-related effects on fertility, malformations, or embryo-fetal development at doses up to 0.15 mL/rat/day. This dose corresponds to approximately 150 mg/rat/day. A pre- and post-natal development study was conducted in rats using vaginal administration of Veregen at doses of 0.05, 0.10 and 0.15 mL/rat/day"
