PREG_REFERENCE_ID,PREG_REFERNCE_TYPE_ID,PREG_REFERENCE_TITLE,PREG_REFERENCE_AUTHOR,PREG_REFERENCE_NAME,PREG_REFERENCE_ISSUE_DT_TXT,PREG_REFERENCE_VOLUME,PREG_REFERENCE_SUPPLEMENT_NBR,PREG_REFERENCE_EDITION,PREG_REFERENCE_LOCATION,PREG_REFERENCE_ACCESSED_DT,PREG_REFERENCE_ISSUE,PREG_REFERENCE_PAGE,PREG_REFERENCE_PUBMED_ID,PREG_REFERENCE_URL_TEXT
2823,1,Follitropin beta (Follistim AQ) Injection Prescribing Information,MerckSharp & Dohme Corp,,2023 Mar,,,,"Kenilworth, NJ",0,,,,
1695,1,Clascoterone (Winlevy) Prescribing Information,Cassiopea Inc,,2020 Aug,,,,,0,,,,
1824,1,Allopurinol (Aloprim) Prescribing Information,Mylan Instituional LLC,,2020 Dec,,,,"Rockford, IL",0,,,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/020298Orig1s013lbl.pdf
3462,1,Sulopenem etzadroxil and probenecid (Orlynvah) Prescribing Information,Iterum Therapeutics U.S. Limited,,2025 Mar,,,,"Chicago, IL",0,,,,
3212,1,Glatiramer (Copaxone) Prescribing Information,"Teva Neuroscience, Inc.",,2023 Nov,,,,"Parsippany, NJ",0,,,,
2143,1,Nystatin powder (Nystop) Prescribing Information,Perrigo,,2018 Nov,,,,"Minneapolis, MN",0,,,,
3407,1,Palonosetron (Posfrea) Prescribing Information,"Avyxa Pharma, LLC",,2025 Apr,,,,"Parsippany, NJ",0,,,,
2719,1,Lenacapavir (SUNLENCA) Prescribing Information,Gilead Sciences Inc,,2022 Dec,,,,"Foster City, CA",0,,,,
2890,1,Rozanolixizumab-noli (RYSTIGGO) Injection Prescribing Information,UCB Inc,,2023 Jun,,,,"Smyrna, GA",0,,,,
531,1,Fluconazole (Diflucan) Prescribing Information,Pfizer Inc,,2018 Mar,,,,"New York, NY",0,,,,
