RXCUI,LAT,TS,LUI,STT,SUI,ISPREF,RXAUI,SAUI,SCUI,SDUI,SAB,TTY,CODE,STR,SRL,SUPPRESS,CVF
1536157,ENG,,,,,,6334959,6334959,1536157,,RXNORM,SY,1536157,Buckley's Cough Suppressant 12.5 MG per 5 ML Oral Suspension,,N,4096
568115,ENG,,,,,,2283650,2283650,568115,,RXNORM,SBDC,568115,Midazolam 1 MG/ML [Versed],,O,
55514,ENG,,,,,,3230420,,N0000168822,,NDFRT,SY,N0000168822,"Receptors, Insulin-Like-Growth Factor I",,N,
1026133,ENG,,,,,,3134469,,N0000000809,,NDFRT,PT,N0000000809,Colles' Fracture,,N,
1146996,ENG,,,,,,3803991,3803991,1146996,,RXNORM,SBDC,1146996,Guaifenesin 400 MG [Diabetic Tussin EX],,O,
310432,ENG,,,,,,3870979,,,,MTHSPL,DP,25000-105,GABAPENTIN 400 mg ORAL CAPSULE,,N,4096
1490661,ENG,,,,,,5952485,,,,NDDF,CDA,072096,TESTOSTERONE UNDECANOATE 750 mg/3 mL (250 mg/mL) INTRAMUSC VIAL (ML),,N,
1320341,ENG,,,,,,7734423,,,,SNOMEDCT_US,PT,713437001,Nifurtoinol,,N,
603162,ENG,,,,,,6360342,6360342,603162,,RXNORM,PSN,603162,Rozerem 8 MG Oral Tablet,,N,4096
748598,ENG,,,,,,2760520,2760520,748598,,RXNORM,SBDC,748598,Capsaicin 0.015 MG/MG [Paloxin],,O,
